mutant,geneLocus,nReplicates,meanWithin,meanToOtherMutants,nullMeanWithin,nullSdWithin,p,qBH,pBonferroni,withinMinusOthers
fliE,VC_2134,24,15.715916,23.65241,22.119508545303344,2.053855911873845,0.00019998000199980003,0.00025277472252774726,0.031596840315968405,-7.936495
rluE,VC_1140,24,15.765141,20.385977,22.11205007581711,2.1017876399444257,0.00019998000199980003,0.00025277472252774726,0.031596840315968405,-4.6208363
potD1,VC_1424,24,15.957362,25.38143,22.07534726343155,2.0967209380175302,0.00029997000299970003,0.000367405119953121,0.04739526047395261,-9.4240675
VC_A0800,VC_A0800,21,16.035172,25.639116,22.133989918518065,2.2641215101855945,0.0008999100089991002,0.0010378524191376485,0.14218578142185784,-9.603945
fliD,VC_2140,24,16.058924,20.68686,22.136549091339113,2.1005864524840767,0.00029997000299970003,0.000367405119953121,0.04739526047395261,-4.6279354
VC_1887,VC_1887,21,16.069689,26.492594,22.101503468799592,2.2268252894114844,0.0008999100089991002,0.0010378524191376485,0.14218578142185784,-10.422905
thiI,VC_0894,24,16.120235,21.56994,22.097564873313903,2.0666587722475858,0.0004999500049995,0.0006029931358009237,0.078992100789921,-5.449705
VC_0900,VC_0900,24,16.13007,22.599842,22.102274961853027,2.0595630394024314,0.00019998000199980003,0.00025277472252774726,0.031596840315968405,-6.4697723
VC_2441,VC_2441,24,16.131952,20.560583,22.095085105133055,2.0819403770470033,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-4.428631
flhB,VC_2120,24,16.175072,26.321838,22.099091911029817,2.0610206860857505,0.0005999400059994001,0.0007127106838188362,0.09479052094790522,-10.146767
flgK,VC_2191,24,16.285095,20.068148,22.099338659572602,2.1019100815010514,0.0005999400059994001,0.0007127106838188362,0.09479052094790522,-3.7830524
flgB,VC_2200,24,16.291676,22.934336,22.117397480964662,2.0682515524452882,0.0006999300069993001,0.0008252906052678315,0.11058894110588942,-6.64266
pdhE2,VC_2413,23,16.300623,27.525335,22.110381829071045,2.1261248838524818,0.00039996000399960006,0.00048610523563028316,0.06319368063193681,-11.224712
flgP,VC_2206,24,16.40106,23.789648,22.08818860578537,2.0789983144641804,0.0007999200079992001,0.0009362026760286934,0.12638736126387362,-7.388588
fliQ,VC_2122,21,16.429953,25.776323,22.08646874065399,2.215523218804429,0.0016998300169983002,0.0019321808826311612,0.2685731426857314,-9.346371
fliP,VC_2123,24,16.719015,25.53676,22.086857948207854,2.1107471465903505,0.0013998600139986002,0.0016027382768969481,0.22117788221177884,-8.817745
fliS,VC_2138,24,16.758991,25.358803,22.102576456832885,2.094528910268593,0.0022997700229977006,0.0025770472598130264,0.3633636636336367,-8.599812
VC_A0079,VC_A0079,24,16.869856,22.854902,22.076013391304016,2.063879578480046,0.0022997700229977006,0.0025770472598130264,0.3633636636336367,-5.9850464
fliR,VC_2121,24,17.134722,27.666918,22.059175533103943,2.066238214609851,0.0029997000299970007,0.0033376943995741277,0.4739526047395261,-10.532196
flgO,VC_2207,24,17.271868,25.88584,22.10365106468201,2.0747424757256065,0.004399560043995601,0.004827295048272951,0.695130486951305,-8.613972
flaA,VC_2188,24,17.638866,26.282745,22.08040141963959,2.0711266679081675,0.006599340065993401,0.007191005037427292,1.0,-8.643879
