locus,oldLocus,gene,description,logFC,qvalue
VC_RS04835,VC0977; VC_0977,,co-chaperone YbbN,-0.0754525108434852,0.934073097353324
VC_RS04840,VC0979; VC_0979,,SDR family oxidoreductase,-0.871908616005385,0.194341387410718
VC_RS04845,VC0980; VC_0980,,TIGR01777 family oxidoreductase,-0.515425585397056,0.334548740722884
VC_RS04850,VC0981; VC_0981,yfcE,phosphodiesterase,-0.0202372463499226,0.976850199293178
VC_RS04855,VC0982; VC_0982,,SelT/SelW/SelH family protein,0.187679113120469,0.864447971135119
VC_RS04860,VC0983; VC_0983,toxS,transmembrane regulator ToxS,0.332475808990818,0.555840352825495
VC_RS04865,VC0984; VC_0984,,winged helix-turn-helix domain-containing protein,-0.257399846620264,0.577521848491903
VC_RS04870,VC0985; VC_0985,htpG,molecular chaperone HtpG,0.295830321835864,0.687931170306998
VC_RS04875,VC0986; VC_0986,adk,adenylate kinase,-0.168743293087248,0.707533684760716
VC_RS04880,VC0987; VC_0987,hemH,ferrochelatase,-0.256569548624336,0.458283793248426
VC_RS04885,VC0988; VC_0988,dtpA,dipeptide/tripeptide permease DtpA,0.586167736833216,0.577521848491903
VC_RS04890,VC0990; VC_0990,rfaH,transcription/translation regulatory transformer protein RfaH,-0.16351288388736,0.756508196185379
VC_RS04895,VC0991; VC_0991,asnB,asparagine synthase B,-0.100414429211347,0.906014917577604
VC_RS04900,VC0992; VC_0992,,cation:proton antiporter,-0.239961161011028,0.57077207209976
VC_RS04905,VC0993; VC_0993,,DNA-binding transcriptional regulator NagC,-0.177873193489431,0.845536293297349
VC_RS04910,VC0994; VC_0994,nagA,N-acetylglucosamine-6-phosphate deacetylase,-0.84041759268634,0.246073714376128
VC_RS04915,VC0995; VC_0995,nagE,N-acetylglucosamine-specific PTS transporter subunit IIBC,0.279721365856226,0.53681219347668
VC_RS04920,VC0997; VC_0997,glnS,glutamine--tRNA ligase,0.210149265438903,0.605485745299333
VC_RS04925,VC0998; VC_0998,hubP,polar hub landmark protein HubP,-0.0951211292498125,0.80577745302317
VC_RS04930,VC0999; VC_0999,truA,tRNA pseudouridine(38-40) synthase TruA,-0.123421942593237,0.82183316825012
VC_RS04935,VC1000; VC_1000,accD,"acetyl-CoA carboxylase, carboxyltransferase subunit beta",-0.10367508297273,0.856376892634639
VC_RS04940,VC1001; VC_1001,folC,bifunctional tetrahydrofolate synthase/dihydrofolate synthase,-0.154448388382801,0.67130815723853
VC_RS04945,VC1002; VC_1002,,SPOR domain-containing protein,-0.0995186465232982,0.856561804899572
VC_RS04950,VC1003; VC_1003,,CvpA family protein,-0.146900453615695,0.735293066801623
VC_RS04955,VC1004; VC_1004,purF,amidophosphoribosyltransferase,-0.316722836222288,0.454751557723904
VC_RS04960,VC1005; VC_1005,,Na+/H+ antiporter family protein,-0.165179597237429,0.769567297948251
VC_RS04965,VC1006; VC_1006,rnt,ribonuclease T,0.0073253907165804,0.996276522669524
VC_RS04970,VC1008; VC_1008,,flagellar protein MotY,0.551166573812857,0.377912833961916
VC_RS04975,VC1009; VC_1009,,DUF2753 domain-containing protein,-0.286386708628856,0.683715034391
VC_RS04980,VC1010; VC_1010,gloA,lactoylglutathione lyase,-0.301943966696349,0.521073396853259
VC_RS04985,VC1011; VC_1011,nth,endonuclease III,-0.147501523898746,0.707064056795527
VC_RS04990,VC1012; VC_1012,,electron transport complex subunit E,-0.529440520918328,0.655834692464686
VC_RS04995,VC1013; VC_1013,rsxG,electron transport complex subunit RsxG,-0.197648527333295,0.773727135978744
VC_RS05000,VC1014; VC_1014,rsxD,electron transport complex subunit RsxD,-0.150237924228375,0.776125639626383
VC_RS05005,VC1015; VC_1015,rsxC,electron transport complex subunit RsxC,-0.131488473953597,0.673978618412259
VC_RS05010,VC1016; VC_1016,rsxB,electron transport complex subunit RsxB,0.256419867116733,0.743229058722493
VC_RS05015,VC1017; VC_1017,rsxA,electron transport complex subunit RsxA,-0.551884826408938,0.669044523689712
VC_RS05025,VC1018; VC_1018,uvrB,excinuclease ABC subunit UvrB,0.152418652685092,0.671000330083552
VC_RS05030,VC1021; VC_1021,luxO,quorum-sensing sigma-54 dependent transcriptional regulator LuxO,0.189297970388852,0.567474485787857
VC_RS05035,VC1022; VC_1022,luxU,quorum-sensing phosphorelay protein LuxU,0.252661895472093,0.439028040780559
VC_RS05040,VC1023; VC_1023,,YvcK family protein,0.178804541601343,0.899566166540062
VC_RS05045,VC1024; VC_1024,moaA,"GTP 3',8-cyclase MoaA",-0.689707630677404,0.166677777045471
VC_RS05050,VC1025; VC_1025,moaB,molybdenum cofactor biosynthesis protein B,-0.186306699026956,0.60864127033209
VC_RS05055,VC1026; VC_1026,moaC,cyclic pyranopterin monophosphate synthase MoaC,-0.042725461765062,0.959369601938114
VC_RS05060,VC1027; VC_1027,moaD,molybdopterin synthase sulfur carrier subunit,-0.0936267788255378,0.962756718111495
VC_RS05065,VC1028; VC_1028,moaE,molybdopterin synthase catalytic subunit MoaE,-0.160888798962074,0.769567297948251
VC_RS05070,VC1029; VC_1029,,GGDEF domain-containing protein,0.0997609943933167,0.906014917577604
VC_RS05075,VC1031; VC_1031,,CBS domain-containing protein,0.0213436295382105,0.985643903299395
VC_RS05080,VC1033; VC_1033,,zinc/cadmium/mercury/lead-transporting ATPase,0.252597902365076,0.807880946409717
VC_RS05085,VC1034; VC_1034,udp,uridine phosphorylase,0.341297921048867,0.551636270156219
VC_RS05090,VC1035; VC_1035,,hypothetical protein,-0.269237348742322,0.947732134388849
VC_RS05095,VC1036; VC_1036,metG,methionine--tRNA ligase,-0.212094104985155,0.614373190095763
VC_RS05100,VC1037; VC_1037,apbC,iron-sulfur cluster carrier protein ApbC,0.422239303694797,0.246073714376128
VC_RS05105,VC1038; VC_1038,udk,uridine kinase,-0.0644319720380181,0.930358018072619
VC_RS05110,VC1039; VC_1039,,AsmA family protein,0.248396042976954,0.582540941370401
VC_RS05115,VC1040; VC_1040,cobO,"cob(I)yrinic acid a,c-diamide adenosyltransferase",-0.450270227794168,0.434605208818091
VC_RS05120,VC1041; VC_1041,,low molecular weight protein-tyrosine-phosphatase,-0.0152159555167679,0.984314830346354
VC_RS05125,VC1042; VC_1042,,outer membrane protein transport protein,0.341402324124497,0.567474485787857
VC_RS05130,VC1043; VC_1043,,outer membrane protein transport protein,-0.132040522232455,0.80577745302317
VC_RS05135,VC1044; VC_1044,,DUF3379 domain-containing protein,-0.38855944704393,0.829911539904802
VC_RS05140,VC1045; VC_1045,,sigma-70 family RNA polymerase sigma factor,-0.0376728800386395,0.969959307189906
VC_RS05145,VC1046; VC_1046,fadI,acetyl-CoA C-acyltransferase FadI,-0.164875967408393,0.731438937673639
VC_RS05150,VC1047; VC_1047,fadJ,fatty acid oxidation complex subunit alpha FadJ,-0.247402167137968,0.488432873100136
VC_RS05155,VC1048; VC_1048,,NAD(P)H nitroreductase,0.116962615575717,0.819507552807319
VC_RS05160,VC1049; VC_1049,,LysR family transcriptional regulator,0.359282144659614,0.600458302078817
VC_RS05165,VC1050; VC_1050,,response regulator,-0.717123902317074,0.186423062998161
VC_RS05170,VC1052; VC_1052,,YbaN family protein,-0.263079252359469,0.586520781260744
VC_RS05175,VC1053; VC_1053,apt,adenine phosphoribosyltransferase,-0.0006047107054686,0.998639330834673
