locus,oldLocus,gene,description,logFC,qvalue
VC_RS09925,VC2060; VC_2060,,chemotaxis protein CheW,1.1248003211997,3.75359650708667e-05
VC_RS09930,VC2061; VC_2061,,ParA family protein,0.731275932887162,0.0011138068640712
VC_RS09935,VC2062; VC_2062,,protein-glutamate methylesterase/protein-glutamine glutaminase,0.950722316837465,6.55219823996151e-05
VC_RS09940,VC2063; VC_2063,,chemotaxis protein CheA,1.296760525073,7.96733781657778e-07
VC_RS09945,VC2064; VC_2064,,protein phosphatase CheZ,1.22619411011733,0.0003675302162168
VC_RS09950,VC2065; VC_2065,cheY,chemotaxis response regulator CheY,0.819000087150686,0.0004018080376106
VC_RS09955,VC2066; VC_2066,,RNA polymerase sigma factor FliA,1.40246227248336,5.563422531819e-06
VC_RS09960,VC2067; VC_2067,,MinD/ParA family protein,1.42946204809515,9.48545199669004e-06
VC_RS09965,VC2068; VC_2068,flhF,flagellar biosynthesis protein FlhF,1.38848811193405,6.27083757745042e-06
VC_RS09970,VC2069; VC_2069,flhA,flagellar biosynthesis protein FlhA,0.477668588781066,0.0761706279034022
VC_RS09975,VC2070; VC_2070,sixA,phosphohistidine phosphatase SixA,0.581351019057499,0.0113172382452046
VC_RS09980,VC2072; VC_2072,,insulinase family protein,1.21859830793823,1.45615694515875e-07
VC_RS09985,VC2073; VC_2073,,VOC family protein,-1.87549854605258,1.5570721734266e-06
VC_RS09990,VC2074; VC_2074,argS,arginine--tRNA ligase,-0.781231573683883,0.0006196435234457
VC_RS09995,VC2075; VC_2075,,HIT family protein,-1.0666430521199,4.18246083313841e-05
VC_RS10000,VC2076; VC_2076,,FeoC-like transcriptional regulator,1.8403131488583,0.0001858216988778
VC_RS10005,VC2077; VC_2077,feoB,Fe(2+) transporter permease subunit FeoB,2.18598860710805,8.89458966048166e-07
VC_RS10010,VC2078; VC_2078,,FeoA family protein,2.52735104465886,2.06922429152439e-06
VC_RS10015,VC2080; VC_2080,,AraC family transcriptional regulator,-0.207296686641546,0.300996796966619
VC_RS10020,VC2081; VC_2081,znuA,zinc ABC transporter substrate-binding protein ZnuA,-1.6666738604396,2.59927662645467e-06
VC_RS10025,VC2082; VC_2082,znuC,zinc ABC transporter ATP-binding protein ZnuC,-0.569622946753301,0.0095447999179758
VC_RS10030,VC2083; VC_2083,znuB,zinc ABC transporter permease subunit ZnuB,-1.21849234837758,7.42489580807306e-05
