mutant,plateId,wellId,biomass_t0,biomass_t1,biomass_t2,biomass_t3,biomass_t4,biomass_t5,biomass_t6,biomass_t7,biomass_t8,biomass_t9,biomass_t10,biomass_t11,biomass_t12,biomass_t13,biomass_t14,biomass_t15,biomass_t16,biomass_t17,biomass_t18,biomass_t19,biomass_t20,biomass_t21,biomass_t22,biomass_t23,biomass_t24,biomass_t25,biomass_t26,biomass_t27,biomass_t28,biomass_t29,biomass_t30
vpsL,241010_105227_Plate_1,D4,0.0,0.00020729165174848373,0.0011859132969825096,0.0012416937602000228,0.0014633039896288643,0.0024860143197418996,0.0025742613487034034,0.003800117136661038,0.007043711140433785,0.01583553256521576,0.014329861187281552,0.016937241421113344,0.013253900689615218,0.013262205489815623,0.011996438375618677,0.007481655262388496,0.00875064919740739,0.007321216393578959,0.0038707294059185313,0.004555922838326642,0.0033880265706402314,0.004505824923611531,0.0025545529971567962,0.002614433763201551,0.0043623019523917,0.0033253142275260204,0.0032770753628670432,0.004486476972840249,0.005551266049628211,0.004235966667358891,0.0041893851513757595
WT,241010_105227_Plate_1,D5,0.0,0.00021611115829276128,0.00023280285704053118,0.0002542375410076017,0.00028349298867635985,0.0005923704036969502,0.0028917755686764897,0.017784803862760885,0.08642251424780373,0.2834858863266958,0.5986507667346346,0.5761390602613038,0.09230980703924971,0.014232099551100599,0.006559728812182107,0.0011824067960636213,0.00040343274159091504,0.0003586323236981128,0.0002535615538120336,0.0002284045698498416,0.0003239700351232341,0.0003005941291882377,0.0003003783234242928,0.0002431200565228661,0.00023643006446515051,0.0003295144155050524,0.0003179037457322038,0.00032704354015794187,0.00029250706081270563,0.00030830160974401247,0.0002518898265563606
potD1,241010_105227_Plate_1,D6,0.0,0.0006643311162338828,0.0007853698340362873,0.0008765924599354354,0.0009809445683385582,0.0032776735117879033,0.020224957200561843,0.12044466176101197,0.4966004348921291,1.2497542582975742,1.9603384570004634,2.667754486111682,3.484346202457189,3.7573720932845758,2.997437264754957,2.7327634562486187,3.0041283201588085,2.712447325476522,2.4397728070138713,2.2694474942228102,2.0544618443450324,2.0650604627293103,1.996861922323749,1.9523289861420239,1.8942617268377606,1.6669298257939613,1.5536638672997525,1.3301289813644899,0.9908564590625218,0.6655187200505903,0.34089230610204707
vpvC_W240R,241010_105227_Plate_1,D9,0.0,0.00019702215571262128,0.00021376476800840668,0.0002678311038790322,0.00034420547865550335,0.001979571111624656,0.015159648360405457,0.0681909632283774,0.2356758243567583,0.6626030115698595,1.6450442897528774,2.7389970721825816,3.5647321608795055,4.069053157491197,4.534777698831046,5.074554200108911,5.563735956580758,5.914184079580814,6.6820138853471684,7.527629601040179,7.989663194376644,8.283473757047185,8.45949164990797,8.587309199328296,8.540218347233662,8.557431847987258,8.58867884265334,8.576911814184498,8.517296215902626,8.560845255961397,8.557245929606221
vpsL,241010_105227_Plate_1,E10,0.0,3.6695847776148863e-05,5.71834849108961e-05,7.94206206989089e-05,6.97332899533066e-05,9.96110024307672e-05,0.00014026835626868914,0.00026611743798424123,0.0037069831293628916,0.0043913674155508006,0.017258804649166102,0.01785896924628676,0.01892749702133856,0.01624227450017176,0.012706997696034608,0.0,0.0,0.0,0.0,0.0,0.0,3.389924543177576e-05,0.0002007711463645311,0.0,0.0,0.00015836114396120443,0.0,0.0,0.0,0.0,0.0
WT,241010_105227_Plate_1,E11,0.0,1.9732788444604164e-05,2.3875828423722898e-05,3.087965204617048e-05,0.0006596305912952009,0.005943527082769159,0.03505257004540141,0.1529312839519354,0.42188790962137446,0.679851489054853,0.2905366135453147,0.0033783590154576773,0.0,8.84137870489554e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
potD1,241010_105227_Plate_1,E12,0.0,0.002136774398710119,0.002084320470093735,0.00204368733914704,0.002649480381183675,0.010525251513510978,0.051124538627145596,0.2279454651397776,0.7464332751936665,1.539693104121587,2.347114095375447,3.37455638267144,4.418889354884604,4.69339717571393,3.4945705765032367,4.070080389984982,4.18397780220356,4.086206602595093,3.9993585091352157,3.9837885134945585,3.9811418516494066,4.030839974968175,3.9768322903278257,3.9980655738616258,3.9516493781079616,3.9570016205370036,3.844653416698537,3.6204229418851592,3.357871746147065,3.0175199275169104,2.38235813460247
vpvC_W240R,241010_105227_Plate_1,E3,0.0,2.517426902145913e-05,4.32449879346369e-05,4.295652419734905e-05,4.2265701651253804e-05,0.00010644960881450414,0.0004916624560672211,0.0023761801604285865,0.0098796740111231,0.03178850402030038,0.10131319890025321,0.2959816212212401,0.7900444440927203,1.5266709928265167,2.483740899078246,3.0961924273634938,3.4825918150867823,3.929705190836601,4.270327594275991,4.620684028750723,4.868870020083546,5.8090489739096425,6.3148662791031,6.548946883624296,6.773437309785548,6.835351474526496,6.938267329997554,6.9683122753899855,7.122379360144977,7.083428389283971,7.2036878883753515
flaA,241010_105227_Plate_1,E5,0.0,0.00012820739618959692,0.0001980742330548071,0.00019705138101208636,0.00029033616276708413,0.001602305198439693,0.012066146399397754,0.07160984175056255,0.3264128220818427,1.0508507490108057,2.1614364719546186,2.7612165925383767,2.4420720422441007,1.655812976641823,1.06069352223592,0.6430692761717722,0.3618864303831764,0.17960371003863332,0.14999034942324513,0.2053198201248023,0.19635375238194866,0.16444740954662884,0.13087094450640757,0.12277076821624124,0.10461500903178927,0.10955932780724478,0.08001200834339388,0.08757841162406192,0.07257473139729612,0.06349160195150488,0.05368183927059192
hapR,241010_105227_Plate_1,E7,0.0,4.056836514174977e-05,5.101383693789026e-05,0.00014154618400189192,0.00021545847108422664,0.00045648707288695086,0.0019273689753480571,0.007851847516191942,0.033863372547031874,0.13562281100664403,0.46384455874656844,1.1348089485565274,2.008990555355996,2.404993764370786,2.619244568503661,2.953790784738929,3.2781811090944024,3.807946373693257,3.947745694000233,3.8649388508746285,3.572545079895547,3.374908490684446,3.1000438804440313,2.8821569006653514,2.689588928036539,2.4299562496180256,2.1445749454597967,1.8366070993360142,1.5090568312740744,1.2794676269514527,1.1181873771520507
luxO_D47E,241010_105227_Plate_1,E8,0.0,6.733737047722694e-05,0.00014895507830017964,0.0002399667068999858,0.00041471723160842926,0.0028956308337526097,0.017385492644105955,0.0714801603359338,0.25859299340582587,0.610555127360117,1.2148860684595533,1.0086905460092226,0.5628744525455001,0.3776649354944794,0.27445334941876576,0.25916278642972207,0.2814341900517072,0.27546356168666064,0.17260211743675816,0.007752108992477377,0.0076928237671459775,0.008874109702754141,0.009317323072637584,0.013465590835873452,0.018888187321630112,0.026114336558010837,0.028171053298058534,0.023351986665873525,0.019540476611327642,0.01900270301278131,0.018032732042813533
rbmB,241010_105227_Plate_1,E9,0.0,9.42845143788968e-05,0.00010524895058485465,0.00014807289558216115,0.0001255194912273282,0.00045222894006717427,0.004360210704990617,0.020022728828601833,0.10069778230817601,0.2872657675182462,0.6892477906570176,1.1791223940452449,1.186076677775629,1.1063063232013135,0.7460423115765659,0.548014290608556,0.2274915166553172,0.35483467994469065,0.2595081532294879,0.1816196337445512,0.09016131282731428,0.07298289580849839,0.05204340344300528,0.05468911897697296,0.05375519677856278,0.049325011878873476,0.05528251226615119,0.0420182656867711,0.03965616329290545,0.022354803397616613,0.015492581366861097
vpsL,241010_105227_Plate_1,F10,0.0,4.0350290906047743e-05,4.981824464973846e-05,5.2172592642064114e-05,4.7724000485109876e-05,6.26688703140642e-05,0.00013995486310216146,0.0007661668394128103,0.006056086618292545,0.003615117112174261,0.0022971013821054573,0.00061191075992947,0.00021082014186294188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WT,241010_105227_Plate_1,F11,0.0,0.00013639674642554531,0.0001820282328570041,0.00019546687489042342,0.00015977673855229756,0.0002309196777211311,0.0007240771248909442,0.003926728222918089,0.022710660541716755,0.09474345189617207,0.2895114341789752,0.7056280025517243,1.031704499619814,0.6017612882527609,0.08180555895262663,0.004781127244572767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
potD1,241010_105227_Plate_1,F12,0.0,6.089953858343165e-05,6.720691997577014e-05,0.00011660512618245272,0.0001982327920079005,0.0016915865488692226,0.01099459377241276,0.053925084715018605,0.2561428967784952,0.7270436599794404,1.5560085789685085,2.366090276261771,3.374034273030882,4.4420141238755475,4.793184252214335,3.597706190175764,4.056274278265131,4.1953907163459325,4.153828595388094,4.16147853487371,4.081081876112917,4.114979879636658,4.130217629767606,4.1748631201346855,4.190760813641198,4.158435559242219,4.012204934247918,3.966334990773501,3.5881177506208237,3.3686252519307964,2.980868459394595
vpvC_W240R,241010_105227_Plate_1,F3,0.0,0.000172317769317157,0.0002031140857897269,0.00025965588477758493,0.0003201065107233519,0.001029986694031575,0.006125928128794123,0.0278633336329103,0.10466338793712808,0.32900029767979394,0.8364689994858194,1.9860270939675928,2.8747118057844543,3.3447402907681836,3.8748764558494946,4.163211454690047,4.4652592716743555,4.737704602262254,5.387491350298492,6.309437462376833,6.835878198688023,7.16514526918147,7.341072543550778,7.503728054352926,7.616146479162648,7.680185329862421,7.761980723493495,7.806007934927954,7.757116750884577,7.880241533111616,7.94018683557281
