locus,oldLocus,gene,description,logFC,qvalue
VC_RS12975,VC2695; VC_2695,trmL,tRNA (uridine(34)/cytosine(34)/5- carboxymethylaminomethyluridine(34)-2'-O)- methyltransferase TrmL,-0.746692906337201,0.0083617620146349
VC_RS12980,VC2696; VC_2696,,FxsA family protein,0.413269647896823,0.0981375568581267
VC_RS12985,VC2697; VC_2697,,GGDEF domain-containing protein,2.14159639294057,1.03885486876808e-06
VC_RS12990,VC2698; VC_2698,aspA,aspartate ammonia-lyase,0.981732903044683,0.0012672260887984
VC_RS12995,VC2699; VC_2699,,anaerobic C4-dicarboxylate transporter,0.584179729038027,0.162418115673461
VC_RS13000,VC2700; VC_2700,pulA,"pullulanase-type alpha-1,6-glucosidase",0.135539378948421,0.626627864921364
VC_RS13005,VC2701; VC_2701,,protein-disulfide reductase DsbD,-0.421530832616551,0.0216639473423949
VC_RS13010,VC2702; VC_2702,,response regulator,-0.0772894978932159,0.691514157820823
VC_RS13015,VC2703; VC_2703,,potassium/proton antiporter,0.572854995034772,0.0075508093106132
VC_RS13020,VC2704; VC_2704,,DUF4212 domain-containing protein,1.00417672650675,0.258245700869279
VC_RS13025,VC2705; VC_2705,,sodium:solute symporter family protein,0.324842711568761,0.310474199339765
VC_RS13030,VC2706; VC_2706,,7-cyano-7-deazaguanine/7-aminomethyl-7- deazaguanine transporter,-1.25562810545806,0.0035777792862775
VC_RS13035,VC2708; VC_2708,gmk,guanylate kinase,-0.684023583048866,0.0032701345708165
VC_RS13040,VC2709; VC_2709,rpoZ,DNA-directed RNA polymerase subunit omega,-0.138078562443557,0.571886872795477
VC_RS13045,VC2710; VC_2710,spoT,"bifunctional GTP diphosphokinase/guanosine-3',5'-bis pyrophosphate 3'-pyrophosphohydrolase",0.0465207492531979,0.758528859259416
VC_RS13050,VC2711; VC_2711,recG,ATP-dependent DNA helicase RecG,-0.266039519041308,0.0987598193325664
VC_RS13055,VC2712; VC_2712,,uracil-xanthine permease family protein,-3.51228656507759,1.30511762937339e-07
VC_RS13060,VC2713; VC_2713,envZ,two-component system sensor histidine kinase EnvZ,0.793065314033058,0.0007009300621945
